%time,field.header.seq,field.header.stamp,field.header.frame_id,field.magnetic_field.x,field.magnetic_field.y,field.magnetic_field.z,field.magnetic_field_covariance0,field.magnetic_field_covariance1,field.magnetic_field_covariance2,field.magnetic_field_covariance3,field.magnetic_field_covariance4,field.magnetic_field_covariance5,field.magnetic_field_covariance6,field.magnetic_field_covariance7,field.magnetic_field_covariance8
1581281229673955485,3452,1581281229673197031,magnetic_field,-0.1754,-0.0299,0.3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229698725508,3453,1581281229698085546,magnetic_field,-0.175,-0.0277,0.3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229723958269,3454,1581281229723209619,magnetic_field,-0.175,-0.0288,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229749231177,3455,1581281229748134374,magnetic_field,-0.1757,-0.0298,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229773893029,3456,1581281229773068904,magnetic_field,-0.1746,-0.0281,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229799638740,3457,1581281229798015594,magnetic_field,-0.1746,-0.0295,0.343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229823882665,3458,1581281229823103904,magnetic_field,-0.1757,-0.0291,0.3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229849578990,3459,1581281229847970724,magnetic_field,-0.1753,-0.0265,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229873649744,3460,1581281229872994661,magnetic_field,-0.175,-0.028,0.3463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229898524115,3461,1581281229897968053,magnetic_field,-0.1753,-0.0295,0.3438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229923730687,3462,1581281229923015117,magnetic_field,-0.1753,-0.0284,0.3446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229948642568,3463,1581281229947953939,magnetic_field,-0.1746,-0.0284,0.3451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229974732702,3464,1581281229973710060,magnetic_field,-0.1753,-0.0291,0.3442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281229998391341,3465,1581281229997840404,magnetic_field,-0.175,-0.0284,0.3438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230024490020,3466,1581281230023648023,magnetic_field,-0.1754,-0.0287,0.3471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230048789146,3467,1581281230047841787,magnetic_field,-0.1753,-0.0262,0.3442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230074303093,3468,1581281230073604106,magnetic_field,-0.175,-0.0273,0.3463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230099384307,3469,1581281230098602056,magnetic_field,-0.1753,-0.028,0.3454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230124330783,3470,1581281230123590469,magnetic_field,-0.1757,-0.0284,0.3442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230149783119,3471,1581281230147831439,magnetic_field,-0.1754,-0.0291,0.3463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230174433691,3472,1581281230173561573,magnetic_field,-0.1746,-0.0281,0.3455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230199246944,3473,1581281230198439836,magnetic_field,-0.1753,-0.0269,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230224431777,3474,1581281230223487138,magnetic_field,-0.175,-0.0295,0.3451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230249357006,3475,1581281230248469352,magnetic_field,-0.1753,-0.0273,0.3442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230274123144,3476,1581281230273456573,magnetic_field,-0.175,-0.028,0.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230299456575,3477,1581281230298434734,magnetic_field,-0.1754,-0.0291,0.3467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230324296244,3478,1581281230323472976,magnetic_field,-0.175,-0.0284,0.3442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1581281230349053883,3479,1581281230348322868,magnetic_field,-0.1753,-0.0262,0.3462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
